"","id","age","agemonths","correct","n"
"1",14,5,62.86842105,1,1
"2",15,4,55,0.875,1
"3",16,4,55.70394737,0.75,1
"4",17,5,63.34210526,1,1
"5",18,3,43.47368421,0.5625,1
"6",19,3,45.17763158,0.75,1
"7",21,5,61.73684211,1,1
"8",22,5,66.375,1,1
"9",25,4,51.03289474,0.875,1
"10",26,4,57.23026316,0.6875,1
"11",29,5,63.83552632,0.875,1
"12",32,5,62.67105263,0.6875,1
"13",33,4,55.40789474,0.9375,1
"14",34,4,52.86842105,1,1
"15",35,4,51.29605263,0.875,1
"16",36,3,46.03289474,0.5,1
"17",38,4,54.47368421,0.75,1
"18",39,5,68.60526316,0.9375,1
"19",40,4,50.80263158,0.75,1
"20",41,5,62.29605263,1,1
"21",42,3,38.96710526,0.625,1
"22",43,4,56.63815789,0.625,1
"23",45,4,49.53947368,0.9375,1
"24",46,3,39.19736842,0.5625,1
"25",48,4,54.70394737,0.625,1
"26",49,4,48.67105263,0.75,1
"27",53,5,68.76973684,0.8125,1
"28",54,3,36.46052632,0.625,1
"29",55,4,57.39473684,1,1
"30",56,3,47.39473684,0.625,1
"31",57,5,63.46052632,0.875,1
"32",58,4,48.36184211,0.875,1
"33",59,4,57.49342105,0.5,1
"34",60,4,53.06578947,0.6875,1
"35",62,3,37.32894737,0.5625,1
"36",63,4,51.93421053,0.75,1
"37",64,5,61,0.8125,1
"38",65,5,67.2,1,1
"39",66,5,66.42763158,0.375,1
"40",67,3,46.60526316,0.5625,1
"41",69,4,53.60526316,0.9375,1
"42",70,3,40.55921053,0.5625,1
"43",72,4,56.03289474,0.9375,1
"44",73,4,55.26315789,0.6875,1
"45",75,3,37.32894737,0.4375,1
"46",76,3,39.73684211,0.4375,1
"47",77,3,38.80263158,0.5,1
"48",78,4,49.59210526,0.375,1
"49",80,4,58.65789474,1,1
"50",82,4,59.11184211,0.5,1
"51",83,4,54.96710526,0.8125,1
"52",84,4,50.30921053,1,1
"53",85,5,67.67105263,0.75,1
"54",87,4,52.83552632,1,1
"55",88,5,63.14473684,0.9375,1
"56",89,4,53.90131579,0.3125,1
"57",90,3,40.86842105,0.4375,1
"58",91,5,64.96710526,0.8125,1
"59",92,5,60.53947368,0.9375,1
"60",94,4,51.80263158,0.6875,1
"61",96,3,36.60526316,0.5,1
"62",97,5,71.26315789,1,1
"63",98,3,45.76973684,0.8125,1
"64",100,5,60.40789474,0.9375,1
"65",103,4,55.67105263,0.875,1
"66",105,5,65,0.875,1
"67",106,5,61.09868421,1,1
"68",107,3,45.44078947,0.5,1
